"Constituent ID","Gift ID","Gift Date","Fund Description","Gift Amount","Preferred ZIP"
11125166,3383,11/29/2011,"Restricted Fund",35,"02906-1746"
11125166,3196,05/31/2011,"Annual Fund",35,"02906-1746"
11125166,4679,05/19/2014,"Annual Fund",40,"02906-1746"
11125166,4211,06/14/2013,"Annual Fund",40,"02906-1746"
11125166,5025,12/05/2014,"Annual Fund",40,"02906-1746"
11125166,5338,06/10/2015,"Annual Fund",40,"02906-1746"
11125166,7959,04/11/2018,"PPL Annual Fund",35,"02906-1746"
11125166,7085,04/25/2017,"PPL Annual Fund",35,"02906-1746"
11125166,7454,10/27/2017,"PPL Annual Fund",35,"02906-1746"
11125166,6463,11/30/2016,"PPL Annual Fund",35,"02906-1746"
11125166,5512,11/30/2015,"Annual Fund",25,"02906-1746"
11125166,5948,06/10/2016,"Children's Annual Fund",25,"02906-1746"
11126241,8962,03/12/2019,"Gala Event 2019",1000,"02903-1148"
6588,8172,06/08/2018,"PPL Annual Fund",200,2903
6588,9322,06/17/2019,"PPL Annual Fund",200,2903
6588,5987,06/15/2016,"Annual Fund",200,2903
6588,5352,06/15/2015,"Annual Fund",200,2903
6588,4735,06/13/2014,"Annual Fund",200,2903
6588,4221,06/14/2013,"Annual Fund",200,2903
6588,3274,06/10/2011,"Annual Fund",100,2903
6588,3675,06/08/2012,"Annual Fund",100,2903
6588,11276,02/26/2021,"PPL Annual Fund",200,2903
6588,10186,05/01/2020,"PPL Annual Fund",200,2903
6588,14758,02/02/2024,"PPL Annual Fund",200,2903
6588,12437,01/28/2022,"PPL Annual Fund",200,2903
6588,13629,01/27/2023,"PPL Annual Fund",200,2903
11127703,12512,03/08/2022,"Savor the Story 2022",500,2906
11124225,10685,10/20/2020,"Education Annual Fund",1000,
11124225,9487,09/16/2019,"Teens Annual Fund",1200,
11131967,13654,02/15/2023,"PPL Annual Fund",694.1,19711
87,13648,02/15/2023,"Savor the Story 2023",15000,"02940-6008"
87,13583,01/06/2023,"PPL Annual Fund",1750,"02940-6008"
87,13510,12/22/2022,"PPL Annual Fund",5000,"02940-6008"
87,12938,06/07/2022,"Makerspace",25000,"02940-6008"
87,14475,06/07/2023,"Makerspace",25000,"02940-6008"
87,15297,06/11/2024,"Makerspace",25000,"02940-6008"
87,14845,03/08/2024,"Savor the Story 2024",10000,"02940-6008"
87,9175,05/30/2019,"Think Again 2017 Capital Campaign",25000,"02940-6008"
87,9761,06/03/2019,"Think Again 2017 Capital Campaign",2500,"02940-6008"
87,10131,04/13/2020,"Think Again 2017 Capital Campaign",25000,"02940-6008"
87,9941,01/29/2020,"Savor the Story 2020",15000,"02940-6008"
87,8006,05/02/2018,"Think Again 2017 Capital Campaign",100000,"02940-6008"
87,8007,05/02/2018,"Think Again 2017 Capital Campaign",25000,"02940-6008"
87,8803,01/10/2019,"Gala Event 2019",5000,"02940-6008"
87,11390,11/21/2019,"Think Again 2017 Capital Campaign",5000,"02940-6008"
87,11391,03/02/2020,"Think Again 2017 Capital Campaign",5000,"02940-6008"
87,11167,01/29/2021,"Savor the Story 2021",15000,"02940-6008"
87,12432,01/25/2022,"Savor the Story 2022",15000,"02940-6008"
87,12106,11/19/2021,"PPL Annual Fund",5000,"02940-6008"
87,11692,05/26/2021,"Think Again 2017 Capital Campaign",25000,"02940-6008"
87,11721,06/04/2021,"PPL Annual Fund",437.5,"02940-6008"
87,11866,07/01/2021,"Think Again 2017 Capital Campaign",5000,"02940-6008"
87,11893,07/15/2021,"Think Again 2017 Capital Campaign",3500,"02940-6008"
87,3744,10/01/2012,"Opening Our Doors Capital Campaign",75000,"02940-6008"
87,3745,10/01/2012,"Opening Our Doors Capital Campaign",25000,"02940-6008"
